loss,auc,val_loss,val_auc
0.40321773290634155,0.9072418212890625,0.2045559138059616,0.9798098802566528
0.31547290086746216,0.9394361972808838,0.1850561946630478,0.979301929473877
0.2910504937171936,0.9484921097755432,0.1942559778690338,0.977603554725647
0.28519997000694275,0.9505211114883423,0.19222061336040497,0.9815241694450378
0.27647826075553894,0.9534587860107422,0.15386821329593658,0.9863176345825195
0.2695033848285675,0.9556816220283508,0.12975187599658966,0.9925081133842468
0.2640632390975952,0.9574383497238159,0.16201448440551758,0.9839525818824768
0.25488099455833435,0.9603412747383118,0.17605169117450714,0.9796670079231262
0.25208014249801636,0.9611769914627075,0.14202755689620972,0.98936527967453
0.24294240772724152,0.9638978242874146,0.14416565001010895,0.9870637059211731
0.2436208724975586,0.9637863636016846,0.12977102398872375,0.9892541170120239
